j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,0.050199,0.000000,0.050199,0.205293,0.000000,0.051323,1024.000000
0,1,0.051713,0.000000,0.051713,0.209817,0.000000,0.052454,1024.000000
0,2,0.050712,0.000000,0.050712,0.207095,0.000000,0.051774,1024.000000
0,3,0.050633,0.000000,0.050633,0.208315,0.000000,0.052079,1024.000000
0,4,0.050744,0.000000,0.050744,0.208024,0.000000,0.052006,1024.200000
0,5,0.050700,0.000000,0.050700,0.207763,0.000000,0.051941,1024.000000
0,6,0.050575,0.000000,0.050575,0.207433,0.000000,0.051858,1024.142857
0,7,0.050423,0.000001,0.050422,0.205196,0.000004,0.051298,1024.250000
0,8,0.050766,0.000001,0.050765,0.206208,0.000003,0.051551,1024.000000
0,9,0.050875,0.000001,0.050874,0.205822,0.000003,0.051455,1024.000000
0,10,0.050821,0.000001,0.050820,0.206208,0.000003,0.051551,1024.090909
0,11,0.050779,0.000001,0.050779,0.207323,0.000002,0.051830,1024.000000
0,12,0.050717,0.000001,0.050716,0.208029,0.000002,0.052007,1024.153846
0,13,0.050520,0.000001,0.050520,0.207052,0.000002,0.051762,1024.000000
0,14,0.050447,0.000001,0.050447,0.205561,0.000002,0.051390,1024.000000
0,15,0.050392,0.000000,0.050392,0.205080,0.000002,0.051270,1024.000000
0,16,0.050276,0.000000,0.050275,0.204364,0.000002,0.051090,1024.000000
0,17,0.050141,0.000000,0.050141,0.203497,0.000002,0.050874,1024.000000
0,18,0.050029,0.000000,0.050028,0.202970,0.000002,0.050742,1024.000000
0,19,0.050024,0.000000,0.050023,0.203351,0.000001,0.050837,1024.000000
0,20,0.049989,0.000000,0.049988,0.203480,0.000001,0.050870,1024.000000
0,21,0.049976,0.000000,0.049976,0.203438,0.000001,0.050859,1024.000000
0,22,0.050037,0.000000,0.050036,0.203387,0.000001,0.050846,1024.000000
0,23,0.050036,0.000000,0.050035,0.203519,0.000001,0.050879,1024.000000
0,24,0.050104,0.000000,0.050104,0.203647,0.000001,0.050912,1024.000000
0,25,0.050076,0.000000,0.050075,0.203273,0.000001,0.050818,1024.000000
0,26,0.050116,0.000000,0.050116,0.203656,0.000001,0.050914,1024.037037
0,27,0.050078,0.000000,0.050078,0.203838,0.000001,0.050959,1024.000000
0,28,0.050030,0.000000,0.050030,0.203173,0.000001,0.050793,1024.000000
0,29,0.050081,0.000000,0.050080,0.203589,0.000001,0.050897,1024.000000
0,30,0.050091,0.000000,0.050091,0.203381,0.000001,0.050845,1024.032258
0,31,0.050068,0.000001,0.050066,0.203492,0.000006,0.050872,1024.000000
0,32,0.050084,0.000001,0.050083,0.203360,0.000006,0.050839,1024.000000
0,33,0.050175,0.000001,0.050173,0.203685,0.000006,0.050920,1024.000000
0,34,0.050160,0.000001,0.050159,0.203854,0.000006,0.050962,1024.000000
0,35,0.050158,0.000001,0.050157,0.203414,0.000005,0.050852,1024.000000
0,36,0.050124,0.000001,0.050122,0.203109,0.000005,0.050776,1024.000000
0,37,0.050157,0.000001,0.050156,0.203422,0.000005,0.050854,1024.000000
0,38,0.050131,0.000001,0.050130,0.203324,0.000005,0.050830,1024.000000
0,39,0.050127,0.000001,0.050126,0.203443,0.000005,0.050860,1024.000000
0,40,0.050082,0.000001,0.050081,0.203448,0.000005,0.050861,1024.024390
0,41,0.050087,0.000001,0.050086,0.203687,0.000005,0.050921,1024.023810
0,42,0.050109,0.000001,0.050108,0.203828,0.000005,0.050956,1024.000000
0,43,0.050119,0.000001,0.050117,0.203733,0.000004,0.050932,1024.000000
0,44,0.050060,0.000001,0.050059,0.203882,0.000004,0.050969,1024.000000
0,45,0.050063,0.000001,0.050062,0.203569,0.000004,0.050891,1024.000000
0,46,0.050101,0.000001,0.050100,0.203571,0.000004,0.050892,1024.000000
0,47,0.050122,0.000001,0.050121,0.203909,0.000004,0.050976,1024.000000
0,48,0.050139,0.000001,0.050138,0.203733,0.000004,0.050932,1024.000000
0,49,0.050112,0.000001,0.050111,0.203766,0.000004,0.050941,1024.000000
0,50,0.050122,0.000001,0.050121,0.203752,0.000004,0.050937,1024.000000
0,51,0.050082,0.000001,0.050081,0.203479,0.000004,0.050869,1024.000000
0,52,0.050094,0.000001,0.050093,0.203491,0.000004,0.050872,1024.000000
0,53,0.050100,0.000001,0.050099,0.203410,0.000006,0.050851,1024.000000
0,54,0.050100,0.000001,0.050098,0.203234,0.000006,0.050807,1024.000000
0,55,0.050100,0.000001,0.050098,0.203364,0.000006,0.050839,1024.000000
0,56,0.050113,0.000001,0.050111,0.203376,0.000006,0.050843,1024.000000
0,57,0.050101,0.000001,0.050100,0.203472,0.000006,0.050867,1024.000000
0,58,0.050110,0.000001,0.050109,0.203395,0.000005,0.050847,1024.000000
0,59,0.050121,0.000001,0.050120,0.203532,0.000005,0.050882,1024.000000
0,60,0.050115,0.000001,0.050114,0.203389,0.000005,0.050846,1024.016393
0,61,0.050151,0.000001,0.050150,0.203604,0.000005,0.050900,1024.016129
0,62,0.050159,0.000001,0.050158,0.203633,0.000005,0.050907,1024.000000
0,63,0.050187,0.000001,0.050186,0.203570,0.000005,0.050891,1024.015625
1,0,13.195266,1.394758,11.800508,2.814179,0.297463,0.629179,1025.000000
1,1,12.857474,1.084904,11.772570,2.644297,0.225322,0.604744,1025.500000
1,2,12.754573,0.994594,11.759979,2.622486,0.205974,0.604128,1024.666667
1,3,12.696905,0.956273,11.740632,2.591611,0.196449,0.598790,1024.500000
1,4,12.675195,0.941159,11.734036,2.545663,0.190207,0.588864,1024.800000
1,5,12.647861,0.914298,11.733564,2.514301,0.183002,0.582825,1024.000000
1,6,12.604293,0.880810,11.723483,2.484646,0.175010,0.577409,1024.285714
1,7,12.592997,0.863643,11.729354,2.473434,0.170920,0.575629,1024.125000
1,8,12.632438,0.899320,11.733118,2.479915,0.177668,0.575562,1024.555556
1,9,12.631540,0.888410,11.743131,2.488672,0.175974,0.578175,1024.200000
1,10,12.589931,0.856745,11.733185,2.475046,0.169409,0.576409,1024.181818
1,11,12.592648,0.858263,11.734385,2.460695,0.168594,0.573025,1024.416667
1,12,12.609367,0.868560,11.740807,2.466412,0.170728,0.573921,1024.230769
1,13,12.602620,0.860993,11.741627,2.456071,0.168638,0.571858,1024.357143
1,14,12.615151,0.873260,11.741890,2.465599,0.171552,0.573512,1024.133333
1,15,12.593009,0.851847,11.741163,2.452244,0.166921,0.571331,1024.250000
1,16,12.590592,0.851908,11.738683,2.446966,0.166545,0.570105,1024.176471
1,17,12.608616,0.871118,11.737498,2.451183,0.170290,0.570223,1024.166667
1,18,12.621109,0.884379,11.736730,2.454359,0.172884,0.570369,1024.263158
1,19,12.616006,0.877013,11.738993,2.449500,0.171179,0.569580,1024.100000
1,20,12.628008,0.893514,11.734494,2.450897,0.174251,0.569161,1024.095238
1,21,12.629532,0.895905,11.733627,2.452853,0.174801,0.569513,1024.136364
1,22,12.634773,0.900257,11.734515,2.457160,0.175869,0.570323,1024.304348
1,23,12.644952,0.909313,11.735639,2.459115,0.177595,0.570380,1024.041667
1,24,12.630348,0.897140,11.733208,2.454608,0.175115,0.569873,1024.120000
1,25,12.639057,0.903906,11.735152,2.452495,0.176083,0.569103,1024.076923
1,26,12.643205,0.912590,11.730615,2.453769,0.177784,0.568996,1024.111111
1,27,12.647056,0.911197,11.735859,2.456933,0.177656,0.569819,1024.071429
1,28,12.661877,0.924855,11.737022,2.462734,0.180579,0.570539,1024.068966
1,29,12.666949,0.927940,11.739009,2.461430,0.180974,0.570114,1024.033333
1,30,12.673250,0.938911,11.734339,2.470381,0.183847,0.571634,1024.322581
1,31,12.684892,0.948035,11.736857,2.474886,0.185810,0.572269,1024.031250
1,32,12.682778,0.948798,11.733980,2.477060,0.186133,0.572732,1024.090909
1,33,12.681291,0.947505,11.733786,2.477810,0.185931,0.572970,1024.088235
1,34,12.702900,0.968278,11.734622,2.490399,0.191009,0.574847,1024.028571
1,35,12.711962,0.977899,11.734062,2.498962,0.193548,0.576353,1024.111111
1,36,12.704008,0.970616,11.733393,2.496532,0.192031,0.576125,1024.108108
1,37,12.703957,0.968416,11.735541,2.494500,0.191424,0.575769,1024.052632
1,38,12.709253,0.972824,11.736429,2.498246,0.192496,0.576438,1024.000000
1,39,12.707079,0.970944,11.736134,2.495703,0.191944,0.575940,1024.075000
1,40,12.705144,0.970490,11.734654,2.496206,0.191891,0.576079,1024.121951
1,41,12.706715,0.974733,11.731981,2.496095,0.192658,0.575859,1024.142857
1,42,12.706666,0.971523,11.735143,2.493480,0.191828,0.575413,1024.093023
1,43,12.704066,0.968464,11.735602,2.492747,0.191186,0.575390,1024.068182
1,44,12.706251,0.970081,11.736170,2.495474,0.191665,0.575952,1024.044444
1,45,12.703441,0.966704,11.736737,2.494381,0.190942,0.575860,1024.021739
1,46,12.700475,0.963215,11.737259,2.493656,0.190224,0.575858,1024.021277
1,47,12.698966,0.959094,11.739872,2.489019,0.189128,0.574973,1024.041667
1,48,12.700859,0.961273,11.739585,2.487849,0.189404,0.574611,1024.000000
1,49,12.703896,0.964610,11.739286,2.488740,0.190061,0.574670,1024.040000
1,50,12.701601,0.962212,11.739389,2.487655,0.189527,0.574532,1024.039216
1,51,12.703050,0.963137,11.739913,2.488603,0.189740,0.574716,1024.000000
1,52,12.703725,0.964752,11.738973,2.489409,0.190092,0.574829,1024.094340
1,53,12.717956,0.978264,11.739691,2.490967,0.192566,0.574600,1024.055556
1,54,12.722578,0.982999,11.739579,2.491569,0.193447,0.574531,1024.036364
